// General information: 
//  MT Manager version: 2020.3.0 
//  XDA version: 2020.3.0 build 5439 rev 106958 built on 2020-11-10
// Device information: 
//  DeviceId: 00B46A09
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,StatusWord,ClippingFlags,RSSI,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
05155,2,0,-56.0000,9.397478,0.209733,-2.789435,0.043039,-0.035894,-0.007873,-0.001569,-0.003116,-0.004276,-0.256019,-0.455554,-0.242273,0.093975,0.002095,-0.027893,1.000000,-0.000008,-0.000016,-0.000021,0.999969,-0.003499,0.003733,-0.005944,-0.403455,0.425377,-0.682589,0.999901,-0.011913,-0.007424,0.011861,0.999905,-0.007041,0.007507,0.006953,0.999948
05156,2,0,-56.0000,9.411390,0.234972,-2.758185,0.075956,-0.062193,-0.003129,0.001831,-0.000350,-0.009003,-0.254669,-0.449510,-0.243688,0.094114,0.002346,-0.027582,1.000000,0.000009,-0.000002,-0.000045,0.999969,-0.003531,0.003738,-0.005932,-0.407178,0.425925,-0.681251,0.999902,-0.011889,-0.007434,0.011837,0.999905,-0.007106,0.007518,0.007018,0.999947
05157,2,0,-56.0000,9.425181,0.220978,-2.772183,0.067766,-0.046923,0.013862,0.000949,-0.007366,-0.007163,-0.254397,-0.455319,-0.237660,0.094253,0.002207,-0.027718,1.000000,0.000005,-0.000037,-0.000036,0.999969,-0.003554,0.003782,-0.005928,-0.409814,0.430958,-0.680844,0.999901,-0.011882,-0.007522,0.011829,0.999904,-0.007152,0.007606,0.007063,0.999946
05158,2,0,-56.0000,9.444049,0.232418,-2.809025,0.038294,-0.056150,0.042773,0.008679,-0.008370,-0.005171,-0.259730,-0.453735,-0.244744,0.094442,0.002323,-0.028086,1.000000,0.000043,-0.000042,-0.000026,0.999969,-0.003556,0.003826,-0.005893,-0.410126,0.436065,-0.676901,0.999901,-0.011814,-0.007611,0.011759,0.999905,-0.007158,0.007695,0.007068,0.999945
05159,2,0,-56.0000,9.402982,0.178144,-2.748964,0.087399,-0.005136,-0.014885,0.012867,-0.008816,-0.006055,-0.259125,-0.453013,-0.243650,0.094031,0.001780,-0.027485,1.000000,0.000064,-0.000044,-0.000030,0.999969,-0.003557,0.003878,-0.005834,-0.410147,0.441950,-0.670137,0.999902,-0.011695,-0.007713,0.011640,0.999907,-0.007158,0.007796,0.007068,0.999945
05160,2,0,-56.0000,9.454826,0.185649,-2.835647,0.020133,-0.007975,0.059932,0.007081,-0.009066,-0.005080,-0.252982,-0.453920,-0.239095,0.094550,0.001855,-0.028352,1.000000,0.000035,-0.000045,-0.000025,0.999969,-0.003562,0.003925,-0.005801,-0.410745,0.447432,-0.666314,0.999902,-0.011629,-0.007809,0.011573,0.999907,-0.007169,0.007892,0.007077,0.999944
05161,2,0,-56.0000,9.396351,0.212364,-2.793030,0.043434,-0.036858,-0.007878,0.008949,-0.003887,-0.007622,-0.258130,-0.455655,-0.258957,0.093964,0.002121,-0.027928,1.000000,0.000045,-0.000019,-0.000038,0.999969,-0.003576,0.003952,-0.005758,-0.412376,0.450516,-0.661400,0.999902,-0.011543,-0.007863,0.011486,0.999908,-0.007197,0.007945,0.007106,0.999943
05162,2,0,-57.0000,9.426674,0.215791,-2.809407,0.036876,-0.039157,0.025942,0.002519,-0.004250,-0.002887,-0.253265,-0.451093,-0.249955,0.094267,0.002157,-0.028092,1.000000,0.000013,-0.000021,-0.000014,0.999969,-0.003579,0.003976,-0.005754,-0.412697,0.453275,-0.661013,0.999902,-0.011536,-0.007911,0.011479,0.999908,-0.007203,0.007993,0.007111,0.999943
05163,2,0,-57.0000,9.396070,0.173755,-2.838737,0.002395,0.004430,0.004376,0.000131,-0.001734,-0.006640,-0.258150,-0.457685,-0.243173,0.093961,0.001734,-0.028387,1.000000,0.000001,-0.000009,-0.000033,0.999969,-0.003601,0.003992,-0.005755,-0.415299,0.455068,-0.661083,0.999902,-0.011537,-0.007942,0.011480,0.999908,-0.007248,0.008025,0.007156,0.999942
05164,2,0,-56.0000,9.407435,0.166429,-2.818577,0.025330,0.011190,0.009285,-0.000244,0.002637,-0.005331,-0.269717,-0.453883,-0.246641,0.094074,0.001662,-0.028187,1.000000,-0.000001,0.000013,-0.000027,0.999969,-0.003620,0.003982,-0.005760,-0.417510,0.453899,-0.661746,0.999902,-0.011549,-0.007922,0.011491,0.999907,-0.007287,0.008005,0.007195,0.999942
05165,2,0,-57.0000,9.398760,0.207336,-2.827135,0.012532,-0.028926,0.004205,0.001356,0.003333,-0.005423,-0.255578,-0.447576,-0.248765,0.093987,0.002071,-0.028273,1.000000,0.000007,0.000017,-0.000027,0.999969,-0.003637,0.003972,-0.005756,-0.419346,0.452769,-0.661288,0.999902,-0.011541,-0.007902,0.011483,0.999907,-0.007319,0.007986,0.007227,0.999942
05166,2,0,-56.0000,9.440675,0.202902,-2.822623,0.028860,-0.024318,0.042935,0.008199,0.004855,-0.005005,-0.257841,-0.453367,-0.249626,0.094406,0.002028,-0.028228,1.000000,0.000041,0.000024,-0.000025,0.999969,-0.003644,0.003950,-0.005710,-0.420131,0.450293,-0.656003,0.999904,-0.011449,-0.007859,0.011391,0.999908,-0.007332,0.007942,0.007242,0.999942
